GPP_percent_modern,pCO2_ppmv,D17O_permil
50,17846.97508896797,-10.373154362416107
50,17965.599051008303,-10.406869324911174
50,18084.223013048635,-10.444453217528624
50,18202.84697508897,-10.480655349388078
50,18321.4709371293,-10.51519936833794
50,18440.094899169628,-10.550572443742597
50,18558.718861209964,-10.58539281484406
50,18677.342823250296,-10.622700355309911
50,18795.96678529063,-10.653375444137387
50,18914.59074733096,-10.690130280300039
50,19033.214709371292,-10.720805369127515
50,19151.838671411628,-10.75479668377418
50,19270.462633451956,-10.787682589814448
50,19389.086595492285,-10.821121200157915
50,19507.71055753262,-10.850690880378998
50,19626.334519572953,-10.884129490722463
50,19744.958481613285,-10.917291748914332
50,19863.582443653617,-10.948243189893407
50,19982.20640569395,-10.97974733517568
50,20100.830367734285,-11.006553493880773
50,20219.454329774617,-11.040268456375838
50,20338.078291814945,-11.068732727990525
50,20456.702253855277,-11.101342281879194
50,20575.32621589561,-11.126213975523095
50,20693.950177935945,-11.158547177260164
50,20812.574139976274,-11.185906040268456
50,20931.198102016606,-11.21685748124753
50,21049.82206405694,-11.242834583497828
50,21168.44602609727,-11.271022502960914
50,21287.0699881376,-11.298381365969206
50,21405.693950177934,-11.326292933280694
50,21524.317912218266,-11.353099091985788
50,21642.941874258602,-11.376589024871695
50,21761.56583629893,-11.40726411369917
50,21880.189798339263,-11.42992499013028
50,21998.8137603796,-11.45783655744177
50,22117.437722419927,-11.480497433872879
50,22236.061684460255,-11.508409001184367
50,22354.685646500595,-11.53272799052507
50,22479.240806642938,-11.55905681369558
50,22603.795966785292,-11.583853138570865
50,22716.488730723606,-11.606483309207352
50,22829.18149466192,-11.631109356494274
50,22947.805456702255,-11.65294117647059
50,23072.360616844602,-11.677637009654381
50,23196.915776986956,-11.701026450848795
50,23309.608540925266,-11.721322981094003
50,23422.301304863584,-11.742479273588632
50,23546.85646500593,-11.76807953199584
50,23671.41162514828,-11.786419265692853
50,23784.104389086595,-11.810369785498091
50,23896.797153024912,-11.829806553493878
50,24015.421115065245,-11.851362021318597
50,24139.97627520759,-11.871837203459785
50,24258.600237247927,-11.892047199192877
50,24371.29300118624,-11.909672325305959
50,24489.916963226573,-11.930122384524278
50,24608.5409252669,-11.948637978681408
50,24733.096085409252,-11.970821519577935
50,24851.720047449588,-11.99214808966092
50,24964.4128113879,-12.008330043426767
50,25083.036773428234,-12.02795104619029
50,25207.59193357058,-12.046190288195815
50,25326.215895610912,-12.064613764969074
50,25438.908659549234,-12.080734307145676
50,25557.532621589562,-12.098973549151205
50,25676.15658362989,-12.11776549545993
50,25794.780545670226,-12.135452033162258
50,25913.40450771056,-12.147887879984209
50,26032.028469750894,-12.166127121989735
50,26150.652431791223,-12.183537307540465
50,26275.207591933573,-12.198937659261388
50,26393.831553973905,-12.2141509847787
50,26506.524317912223,-12.229411764705882
50,26625.148279952547,-12.245440189498618
50,26743.772241992883,-12.258705092775367
50,26862.396204033215,-12.276115278326095
50,26981.020166073547,-12.287998420844847
50,27099.64412811388,-12.304579549940781
50,27218.26809015421,-12.316462692459535
50,27342.823250296562,-12.332340379715033
50,27461.44721233689,-12.342808264245296
50,27574.139976275204,-12.35736281089617
50,27692.76393831554,-12.370627714172917
50,27811.387900355872,-12.382234504540072
50,27930.011862396204,-12.395775759968416
50,28048.635824436536,-12.408211606790369
50,28167.25978647687,-12.423410975128306
50,28285.883748517197,-12.42976707461508
50,28404.507710557536,-12.444137386498223
50,28523.13167259786,-12.45270430319779
50,28641.755634638197,-12.46790367153573
50,28760.37959667853,-12.478405053296488
50,28879.00355871886,-12.491117252270037
50,28997.627520759193,-12.498578760363207
50,29116.251482799526,-12.50990919857876
50,29234.87544483986,-12.518752467429925
50,29353.499406880193,-12.53008290564548
50,29472.12336892052,-12.540584287406237
50,29590.747330960854,-12.548322147651007
50,29709.37129300119,-12.560757994472956
50,29774.61447212337,-12.562968811685748
