co2_ppmv,gpp_percent,d17o_o2_permil
194,60.741380,-0.418161
194,61.180024,-0.417173
194,61.618668,-0.416198
194,62.057311,-0.415238
194,62.495955,-0.414291
194,62.934599,-0.413357
194,63.373243,-0.412436
194,63.811887,-0.411529
194,64.250530,-0.410634
194,64.689174,-0.409751
194,65.127818,-0.408881
194,65.566462,-0.408023
194,66.005106,-0.407177
194,66.443749,-0.406343
194,66.882393,-0.405520
194,67.321037,-0.404709
194,67.759681,-0.403909
194,68.198325,-0.403120
194,68.636968,-0.402342
194,69.075612,-0.401575
194,69.514256,-0.400818
194,69.952900,-0.400071
194,70.391544,-0.399335
194,70.830187,-0.398609
194,71.268831,-0.397893
194,71.707475,-0.397186
194,72.146119,-0.396489
194,72.584763,-0.395801
194,73.023406,-0.395122
194,73.462050,-0.394453
194,73.900694,-0.393792
194,74.339338,-0.393140
194,74.777982,-0.392497
194,75.216625,-0.391862
194,75.655269,-0.391235
194,76.093913,-0.390616
194,76.532557,-0.390006
194,76.971201,-0.389403
194,77.409844,-0.388808
194,77.848488,-0.388220
194,78.287132,-0.387640
194,78.725776,-0.387067
194,79.164420,-0.386502
194,79.603063,-0.385943
194,80.041707,-0.385391
194,80.480351,-0.384846
194,80.918995,-0.384307
194,81.357639,-0.383775
194,81.796282,-0.383249
194,82.234926,-0.382729
194,82.673570,-0.382215
194,83.112214,-0.381708
194,83.550858,-0.381206
194,83.989501,-0.380710
194,84.428145,-0.380219
194,84.866789,-0.379734
194,85.305433,-0.379254
194,85.744077,-0.378779
194,86.182720,-0.378310
194,86.621364,-0.377845
194,87.060008,-0.377386
194,87.498652,-0.376931
194,87.937296,-0.376481
194,88.375939,-0.376035
194,88.814583,-0.375594
194,89.253227,-0.375157
194,89.691871,-0.374725
194,90.130515,-0.374296
194,90.569158,-0.373872
194,91.007802,-0.373452
194,91.446446,-0.373035
194,91.885090,-0.372623
194,92.323734,-0.372214
194,92.762377,-0.371808
194,93.201021,-0.371406
194,93.639665,-0.371008
194,94.078309,-0.370613
194,94.516953,-0.370221
194,94.955596,-0.369832
194,95.394240,-0.369447
194,95.832884,-0.369064
194,96.271528,-0.368684
194,96.710172,-0.368308
194,97.148815,-0.367934
194,97.587459,-0.367562
194,98.026103,-0.367194
194,98.464747,-0.366827
194,98.903391,-0.366464
194,99.342034,-0.366103
